content_stem,score,label
aplikasi bagus cepat koneksi internet salah sinyal bagus 1 1 kali sinyal jelek kasih bintang 4 kuat sinyal,4,Positif
good berkat aplikasi lancar tau aplikasi untung aplikasi grtiss latar youtube layar jernih kualitas 1080 premium puas aktif aplikasi turbo a pencet tombol wortel tahan aplikasi erti uang boros usaha moga sukses,5,Positif
tolong tingkat kn kadang lambat lelet jadih bintang 4 ya depa kerja nya tapu sa ain lumayan aplikasi,4,Positif
bagus top aplikasi tolong tingkat cepat kadang lot suka gagal ulang kuota signal bagus terima kasih sukses,5,Positif
apk nya parah banget udah lot download yg 3 jam video pas selesai tingal bentar tiba2 jaring ilang download an nya masuk putar musik video nya,1,Negatif
gara gara aplikasi wifi nya lot matiin vpn aja pake iklan ribet udah dimatiin lelet wifinya,3,Netral
vpn jaring kartu ponsel normal lag virus yg hp reaset jaring kartu hp normal bagus apk vpn kandung virus yg akibat kartu hp lag 2 kali tpi,3,Netral
manfaat bgt sempurna buka web porno blokir cmn 2 yg aplikasi nya suka ngilang gk free bayar mahal kalo langgan aja sih kalo harga langgan nya murah thanks,4,Positif
mohon kerjasamanya coba bagus ku bintang moga apk vpn buruk jaring tipu suka lelet sinyal sarat sarat iklan cengkonekmu terimaksi,3,Netral
nyesel download buang buang kuota aja gak ngaruh lambat bayar iklan iklan turun of aplikasi nonton iklan gak karuan nunggu tombol x nya gak faedah,1,Negatif
developer tolong kembali uang apk jalan mesti sya unistal 1 yg knpa tiba2 saldo emoney sya potong tolong kembali,1,Negatif
guna masuk situs susah akses suka error iklan nya gak banget kali main cuman 2 3 iklan muncul durasi iklan rasa wajar inti tuh aplikasi bagus o  o,5,Positif
yaelah 4 baru udah baru tetep sinyal jaring bagus drop buka vpn buka google aja loading aplikasi bagus sinyal jelek hujan pake vpn tembus 2mbps gin sih udah hapus aja aplikasi download mending nggak kecewa kayak,1,Negatif
terimakasih bagus trial 7 aplikasi nya bug error cepat download pakai vpn goodjob turbo vpn sesuai nama nya ngebut,5,Positif
bagus banget bikin efek deg ff clasic merah tolong developer efek deg ff nya permanenin dongg biar ga aktifin kalo main moga aja update biar permanen gitu doang sih bagusss pokok wajib cobaaa,4,Positif
jaring nya bagus cuman pakai keluh solusi ganti server ganti server jaring nya tahan 1 menit tolong baik servernya,3,Netral
aplikasi bagus tolong hilang metode bayar gk ngerti ganti server muncul metode bayar ribet aplikasi agk ribet coba hasil aplikasi bagus kasih bintang 4,4,Positif
vpn yg jengkel bentar iklan udah gt iklan bikin lot pokok apk muak emosi saat lelet dampak iklan yg muncul menit,1,Negatif
suka aplikasi karna mebuka situs blokir bantu terima makasih aplikasi turbo vpn krna legah puas krena bgitu buka hasrat curah,5,Positif
vpn nya gokil masuk server game pubg codm lancarr kadang emang suka lag servernya gak contact hp udh bagus vpn donwload vidio yt vidio tu kadang lot pas pake vpn udh cepat vpn andal sih ga dipake liat aneh aneh y bang,5,Positif
bantu boss q klo aplikasi lengkap free wal pepper anti sadap hackers bersih handphone virus kren,5,Positif
iklan bejibun banget lambat koneksi terpakasa baik deh nonton iklan mulu,1,Negatif
apk nya lumayan bagus iklan nya gk banya tingkat ya depan nya bagus,4,Positif
tingkat cepat akurasi nya nyaman guna dpt lbh negara nikmat situs2 yg blokir,5,Positif
dikerjain indosat gak ngakses situs techpowerup web nya down pake aplikasi tembus beres akses alamat web nya,5,Positif
ngikut aja tnpa basabasi kasih bintang full aja klo gk fungsi dn gk sesuai fungsi tinggal hapus aja nya coba apk trimakasih yg karya,5,Positif
aplikasi bagus pakai jga dijadikn tameng android yg sy pakai,5,Positif
buka aplikasi lelet susah semenjak pakai turbo vpn mudah cepat,5,Positif
tipu tulis uji coba gratis 7 saldo potong refund google tuju hadeh aplikasi kontolllll,1,Negatif
top markotop pkoknya aplikasi iklan kendala ayo acung jari aplikasi turbo vpn,5,Positif
bagus sih iklan klo hilang iklan aja,2,Negatif
bagus langgan mahal rangin pokok ya bagus aplikasi,5,Positif
bantu yg susah akses tp iklan nya susah bos mohon hilang iklan,5,Positif
tdk daftar akun tdk akun tiba2 saldo gopay potong otomatis 200rb trs yg premium platinum akun,1,Negatif
kasih bintang kadang bagus kadang jelek sory y klo pakek bagus y tambahin deh 1 senang aplikasi nya guna faedah makasih,4,Positif
apknya bagus muas minta tolong iklan hilang terimakasih,5,Positif
apl yg bagus muas tolong baharu biar mantap apl yg nya y bosqu,5,Positif
coba tau hasil nya kasi 3 bintang bagus sayah kasih pul,3,Netral
keren iklan nya bro x durasi,5,Positif
mantap cepat mudah mudah buka situs web blokir,5,Positif
vpn ny guna situs yg blokir auto buka mantap pokok vpn nya download vpn jamin gk nyesal,5,Positif
iklan guna klik ulang ulang hasil,1,Negatif
aplikasi nya emang masuk server gua main ml musuh nya bot haha,5,Positif
putus kadang kadang internat gua sinyal 8mb pakai vpn drop 1mb,3,Netral
iklan banayak jaring nya lot bangeetttttt tolong baik depan,2,Negatif
bantu buka link download upload file batas sistem websitenya sayang iklan iklan kena biaya saran guna download situs turbo vpn bebas iklan guna situs bulan berat iklan download turbo vpn kena biaya moga turbo vpn iklan fnxedws,5,Positif
bantu iklan yg ganggu ya iklan bayar suka aplikasi gratis iklan bayar wkwkwk,5,Positif
gila vpn bener2 ngebantu sinyal lot internetan tahan kualitas dn jgn pake premium bayar biar laris yg donlod rakyat apk trims,5,Positif
bagus suka aplikasi nya kurang muncul iklan nya,5,Positif
apk nya keren coba akun free fire server thailand hasil terimakasih turbo vpn,5,Positif
aplikasi bagus tingkat ya bos cepat,5,Positif
bagus hp cepat main game ram gak ngelag,5,Positif
bagus pilih video nonton pilih negara,5,Positif
mantap pokok tolong tingkat suka terkadang hubung ulang si,5,Positif
aplikasi sih udh premium eh gk cari diam aja kelinci nya empat bintang,1,Negatif
kadang lot iklan premium bahaya muncul takut pencet nyedot,5,Positif
mantap pokok nya tolong baik bebe rapa bug nya,5,Positif
moga sesuai harap speed kencang bebas selancar dunia,5,Positif
bagus kadang jdi lot banget tolong tingkat lg,5,Positif
speed kencang tahan ya iklan dikit gpp maklum,5,Positif
skarang sih apk pvn yg smoga ttap tahan aja cepat nya bila2 update,5,Positif
aplikasi ok kalo rangin iklan,5,Positif
jaring stabil ditambahin,4,Positif
apk nya klo si bagus puas puas banget mantap,5,Positif
mm batu aplikasi i terima kasih 6 30,5,Positif
god job klo tahan dg iklan hasil yg guna betah rezeki alir mantap,5,Positif
cepat gampang error rombak apk biar akses cepat,3,Netral
bayak iklan mengunakan aplikasi bayak iklan yah harap baik,2,Negatif
versi it s okey iklan putus koneksi tp bagus performa,5,Positif
recoment banget yg susah jangkau yah kadang signal nya ilang2 an jadi buffring ilang sendiri gambar nya,5,Positif
mantap and tpi ngelek jaring,5,Positif
bintang 5 karna aplikasi bagus cepat percaya buka situs anti blockir,5,Positif
banyak iklan durasi nya coba diskusi dgn tim,2,Negatif
aplikasi bagus tunjang pakai luar negri,5,Positif
aplikasi sgt bantu anak rantau silaturahmi rindu sm org tua vidio coll pake aplikasi,5,Positif
ni apk gratis aj dah bagus premium ny pokok ny oke mudah2han semangkit jd yng depan trimakasih,5,Positif
bagus cuman iklan aja mohon rang,5,Positif
maaf bintang 4 tolong iklan klo ilangin stidaknya rangin sya ganggu,4,Positif
vpn langsung uninstall 2bulan alami potong dana 180 000 rupiah konfirmasi langsung kena potong tolong bantu kembali dana,5,Positif
suka sih aplikasi tpi terkadang putus koneksi ny tolong ya admin aplikasi baik,5,Positif
suka aplikasi bantu buka aplikasi blokir senang aplikasi susah paya cari aplikasi menggangu cari aplikasi yg gak fungsi aplikasi aplikasi nyaman aman jam jam rasa bosan aplikasi terimakasih,5,Positif
kadang putus konek tpi gk lumayan bagus,3,Netral
guna apk mantap mudah cepat,5,Positif
kasih bintang full ajah download aplikasi tanksmantap aplikasi aplikasi keren buka situs blokir thanks pakai aplikasi joss mantap buka situs blokir internet keren aplikasi,5,Positif
mantap banget sinyal auto lancar ngk blokir,5,Positif
lumayan bagus iklan nya kebon banget banget asa nonton youtube nonton iklan,2,Negatif
iklan sinyal hilang,4,Positif
yah kalo pake tuh kadang2 suka ilang tiba2 jaring nya mh ko bagus2 aja,5,Positif
aplikasi bagus kalo mendownload jg tolong iklan kurang,4,Positif
alpikasi turbo vpn bagus cmn kalao tdk d aplikasi tdk langsung off dgn mohon d tingkat aktif d pakek tdk oflen,5,Positif
bagus si lag jaring,5,Positif
ok tolong tingkat cepat jgn x iklan,5,Positif
gak hilang status bar ya tulis gak enak salah perangkat ketuk sambung suruh nyambung iklan mati iklan lihat status bar aja suruh nyambung iklan rajin banget untung bikin,1,Negatif
utk is the best blom tau depan moga kian cepat turbo nya,5,Positif
overall oludah oke kadang jaring suka down tolong baik jatingan stabil,5,Positif
update aplikasi aktif 15 detik mati ribet on 15 detik off,2,Negatif
knp premium ya akses indo gak knp apk sampah bgt masuk indonesia suruh premium kalo cari cuan jgn gitu juga org miskin kasihan,1,Negatif
apk vpn nya bagus banget kadang klo asyik nonton suka mati devloper tolong baik,4,Positif
gaenak pake si performa lancar tpi vpn ny mati sndri kalo mati stlh 2 3 jam sih ok bbrp menit apk nya putus sambung si,3,Netral
asli mantap banget ken jaring cepet pake aplikasi sumpah download vidio 200mb an cepat 1 4mb s pake jujur sih rill banget loh rek langsung 25mb s ku harap depan cepat jaring pokok the best la no debat apk,5,Positif
bantu banget nih aplikasi kalo masuk web iklan pencet dikit pindah tab iklan judi,5,Positif
apk a ud bagus sih iklan a kali klo iklan a apk a bagus enk cepat jg min hilang iklan a biar apk a enk,4,Positif
baik sinyal nya ngelek utk hdi,5,Positif
mulu si gak kaya bagus udah bagus gak kotak katik udah bagus sob yg,4,Positif
bintang5pasti vpn turbo muas recommended banget kalian2 butuh aplikasi vpn ya vpn turbo best skrg msh baik mudah ga sulit jaga tingkat alam skrng coba bukti beda dngn yg,5,Positif
aplikasi lengkap uc browser bagus cepat unduh jos anti lelet,5,Positif
cepat jaring ok cuman kadang tiba2 loading pas sdang d aktif,3,Netral
langgan saldo dana potong mohon info refund pakai terimakasih mohon refund saldo,1,Negatif
aplikasi bagus iklan iklan,4,Positif
lumayan gitu suka kadang ngelag iklan tolong apus ajh bikin ribet banyak iklanya,4,Positif
nih vpnnya gagal hubung kemaren kemarin gk da msalah tolong baik cepat,5,Positif
bantu lot moga cepat baik terima kasih,4,Positif
aplikasi mantap tp baik lg kdang suka lot,5,Positif
apk bagus indonesia premium wilayah aja lebih bagus,4,Positif
bagus banget harga nya mahal rangin bagus bos,5,Positif
turbo vpn bantu jelajah akun terima kasih vpn jaya depan,5,Positif
aplikasi vpn jelek pakai 10x coba maka gagal mending uninstall aja,1,Negatif
aplikasi turbo pvn bagus bantu selancar dunia maya,5,Positif
game bagus jaring kadang kadang leg mohon baik,5,Positif
bagus iklan kurang biar gak menggangu terima kasih,4,Positif
lengkap pasti lancar mulus masuk internet serasa gak kendala buka2 situs,3,Netral
bagus tolong tingkat baik akses cepat terima kasih,5,Positif
terkadang koneksi putus,5,Positif
bintang bicara tingkat kualitas jaring,5,Positif
vpn bagus iklan iklan,5,Positif
ya akw sih lumayan mmbnt tp ya gitulah ngelag sihh tp jaring mohon donk lancar dikit,4,Positif
oke sih server singapura langgan free no 2 langgan sih,4,Positif
buka vpn slalu gagal sy sdh kl coba ttap ngga,1,Negatif
baguss apk nya buka situs buka,5,Positif
coba hasil bagus koneksi cepat,5,Positif
dah bagus tolong ditingkatin vpnnya yg gratis,5,Positif
wifi lancar gagal sambung,1,Negatif
bantu jaring lancar guna mudah recomend deh,5,Positif
mohon iklan nya hilang,5,Positif
